destination,price,duration,features,product_type
chennai,19660.0,1 nights,"ITC Grand Chola - Standard Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Beach Access, Airport Shuttle, Swimming Pool",hotels
cochin,5883.0,14h 55m,IndiGo Delhi 1 stop DEL → BOM → COK,flight
jaipur,11512.0,1 nights,"Radisson Blu Jaipur - Pool View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.0/5 | Includes: Beach Access, Airport Shuttle, Fitness Center",hotels
new delhi,27210.0,6h 10m,Jet Airways Banglore 1 stop BLR → BOM → DEL,flight
hyderabad,0.0,1h 30m,IndiGo Mumbai non-stop BOM → HYD,flight
goa,1336.09,3h,Portuguese Heritage Walk in Old Goa,activity
hyderabad,2535.26,6h,Ramoji Film City Day Tour,activity
cochin,16108.0,9h 15m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
cochin,0.0,13h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
cochin,16079.0,9h,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
delhi,1839.0,4h,Qutub Minar & Humayun's Tomb Tour,activity
banglore,9663.0,19h 15m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
new delhi,3873.0,2h 55m,SpiceJet Banglore non-stop BLR → DEL,flight
manali,4286.77,1h 30m,Paragliding from Gulaba with Video Recording,activity
cochin,13882.0,19h,Jet Airways Delhi 2 stops DEL → LKO → BOM → COK,flight
banglore,39295.0,3 nights,"Sheraton Grand Bangalore - Executive Room with Room Only | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Room Service, Conference Rooms, Garden, Spa",hotels
delhi,32210.0,2 nights,"Radisson Blu Delhi - Sea View Room with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Parking, Fitness Center, Swimming Pool, Conference Rooms",hotels
banglore,1884.71,4h,Tech Park Tour - Silicon Valley of India,activity
cochin,2634.62,3h,Kerala Seafood Cooking Class,activity
agra,933.37,2h,Moonlight Garden View of Taj Mahal,activity
hyderabad,311124.0,7 nights,"Taj Falaknuma Palace - Sea View Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Bar, Swimming Pool",hotels
hyderabad,47870.0,3 nights,"ITC Kohenur - Mountain View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Swimming Pool, Restaurant",hotels
banglore,0.0,12h 15m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
banglore,11134.0,5h 45m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
varanasi,0.0,1h,Evening Ganga Aarti Ceremony at Dashashwamedh Ghat,activity
agra,99841.0,14 nights,"Courtyard by Marriott - Deluxe Room with Room Only | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Airport Shuttle, Free WiFi",hotels
cochin,10262.0,21h 20m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
delhi,5613.0,2h 35m,Vistara Banglore non-stop BLR → DEL,flight
delhi,69585.0,3 nights,"The Leela Palace New Delhi - Garden View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Kids Club, Beach Access, Conference Rooms, Airport Shuttle",hotels
banglore,7927.0,22h 30m,Vistara Kolkata 1 stop CCU → DEL → BLR,flight
hyderabad,3073.97,6h,Ramoji Film City Day Tour,activity
hyderabad,53864.0,4 nights,"Novotel Hyderabad - Garden View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Terrace, Spa",hotels
goa,1959.64,5h,Spice Plantation Tour with Traditional Goan Lunch,activity
chennai,17494.0,1 nights,"The Leela Palace Chennai - Lake View Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Bar, Beach Access, Kids Club, Conference Rooms",hotels
delhi,3419.0,2h 45m,GoAir Banglore non-stop BLR → DEL,flight
agra,78659.0,1 nights,"Oberoi Amarvilas - Presidential Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Parking, Garden",hotels
delhi,1443.95,2h 30m,Auto Rickshaw Tour of Old Delhi,activity
varanasi,0.0,1h,Evening Ganga Aarti Ceremony at Dashashwamedh Ghat,activity
delhi,15275.0,1 nights,"Hyatt Regency Delhi - Mountain View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Airport Shuttle, Business Center",hotels
jaipur,90548.0,10 nights,"Marriott Jaipur - Garden View Room with Room Only | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Parking, Beach Access, Room Service",hotels
cochin,16294.0,9h 25m,Multiple carriers Delhi 3 stops DEL → GWL → IDR → BOM → COK,flight
